Individual ,Sire,Dam,Family,Culture,Length,Block,pH,photo_ID,Malformed
176,S1,D2,3,3,118.035,1,8.1,c5_3_16.tif,no
177,S1,D2,3,3,115.181,1,8.1,c5_3_17.tif,no
178,S2,D2,4,1,121.58,1,8.1,c6_1_.tif,no
179,S2,D2,4,1,117.782,1,8.1,c6_1_1.tif,no
180,S2,D2,4,1,116.083,1,8.1,c6_1_2.tif,no
181,S2,D2,4,1,114.327,1,8.1,c6_1_4.tif,no
182,S2,D2,4,1,112.735,1,8.1,c6_1_6.tif,no
183,S2,D2,4,1,117.058,1,8.1,c6_1_7.tif,no
184,S2,D2,4,1,119.646,1,8.1,c6_1_8.tif,no
185,S2,D2,4,1,116.951,1,8.1,c6_1_9.tif,no
186,S2,D2,4,1,118.196,1,8.1,c6_1_10-1.tif,no
187,S2,D2,4,1,121.44,1,8.1,c6_1_11.tif,no
188,S2,D2,4,1,120.309,1,8.1,c6_1_12.tif,no
189,S2,D2,4,1,119.778,1,8.1,c6_1_13.tif,no
190,S2,D2,4,1,102.625,1,8.1,c6_1_17.tif,no
191,S2,D2,4,1,122.404,1,8.1,c6_1_18.tif,no
192,S2,D2,4,1,118.909,1,8.1,c6_1_19.tif,no
193,S2,D2,4,1,108.199,1,8.1,c6_1_20.tif,no
194,S2,D2,4,1,117.296,1,8.1,c6_1_21.tif,no
195,S2,D2,4,2,115.903,1,8.1,c6_2_1.tif,no
196,S2,D2,4,2,119.269,1,8.1,c6_2_2.tif,no
197,S2,D2,4,2,118.678,1,8.1,c6_2_2.tif,no
198,S2,D2,4,2,118.191,1,8.1,c6_2_3.tif,no
199,S2,D2,4,2,114.293,1,8.1,c6_2_4.tif,no
200,S2,D2,4,2,120.938,1,8.1,c6_2_5.tif,no
201,S2,D2,4,2,119.415,1,8.1,c6_2_6.tif,no
202,S2,D2,4,2,122.047,1,8.1,c6_2_6.tif,no
203,S2,D2,4,2,100.924,1,8.1,c6_2_6.tif,no
204,S2,D2,4,2,121.473,1,8.1,c6_2_6.tif,no
205,S2,D2,4,2,112.204,1,8.1,c6_2_7.tif,yes
206,S2,D2,4,2,115.602,1,8.1,c6_2_7.tif,no
207,S2,D2,4,2,121.22,1,8.1,c6_2_7.tif,no
208,S2,D2,4,2,109.711,1,8.1,c6_2_7.tif,yes
209,S2,D2,4,2,117.695,1,8.1,c6_2_8.tif,no
210,S2,D2,4,2,120.423,1,8.1,c6_2_9.tif,no
211,S2,D2,4,2,119.914,1,8.1,c6_2_9.tif,no
212,S2,D2,4,2,118.1,1,8.1,c6_2_9.tif,no
213,S2,D2,4,2,120.737,1,8.1,c6_2_11.tif,no
214,S2,D2,4,2,108.153,1,8.1,c6_2_12.tif,no
215,S2,D2,4,3,115.551,1,8.1,c6_3_-1.tif,no
216,S2,D2,4,3,116.682,1,8.1,c6_3_1.tif,yes
